"VideoAnalysis: Time (s)","VideoAnalysis: X Wrist (m)","VideoAnalysis: Y Wrist (m)","VideoAnalysis: X Elbow (m)","VideoAnalysis: Y Elbow (m)","VideoAnalysis: X Shoulder (m)","VideoAnalysis: Y Shoulder (m)","VideoAnalysis: X Ear (m)","VideoAnalysis: Y Ear (m)","VideoAnalysis: X Hip (m)","VideoAnalysis: Y Hip (m)","VideoAnalysis: X Knee (m)","VideoAnalysis: Y Knee (m)","VideoAnalysis: X Ankle (m)","VideoAnalysis: Y Ankle (m)","VideoAnalysis: X Toe (m)","VideoAnalysis: Y Toe (m)"
0,-1.09524528935,-0.223510638342,-1.21682736747,-0.0168855440475,-0.986697147649,0.122339172125,-0.811746747139,0.270141958655,-0.938922253016,-0.4238403196,-0.646897241688,-0.731079490091,-0.782247917089,-1.15147198946,-0.625950335184,-1.25741231003
0.0333333333333,-1.1015215335,-0.214120788701,-1.21974484161,-0.00538726359704,-0.998956605911,0.123579022818,-0.811746747139,0.270141958655,-0.938922253016,-0.4238403196,-0.646897241688,-0.747533156249,-0.750868994797,-1.16558652376,-0.590096615883,-1.25832384527
0.0666666666667,-1.10684163108,-0.209340055854,-1.22126487016,-7.94219818442E-05,-1.00287314362,0.129245256363,-0.817210699303,0.27016516015,-0.938922253016,-0.4238403196,-0.646830789078,-0.737804494191,-0.702172522422,-1.17380006632,-0.550206097677,-1.26978314538
0.1,-1.10586096793,-0.211632355963,-1.22397395329,0.0132821192666,-1.00287314362,0.129245256363,-0.817210699303,0.27016516015,-0.938922253016,-0.4238403196,-0.662447152354,-0.760292057308,-0.67669459187,-1.17380006632,-0.491158870692,-1.25347679282
0.133333333333,-1.10586096793,-0.211632355963,-1.21013433855,-0.00403885117748,-1.00075265131,0.114703082338,-0.817210699303,0.278053668583,-0.51608699732,-1.24988740749,-0.68500116808,-0.773941423337,-0.653715279442,-1.18521662466,-0.468211332834,-1.23981823308
0.166666666667,-1.09892277616,-0.205319336948,-1.2109556443,-0.0192513949291,-1.00075265131,0.114703082338,-0.826410092225,0.285362139631,-0.947293908048,-0.43660651377,-0.694277952392,-0.774778726219,-0.62563240659,-1.19381559235,-0.44422204042,-1.23575249655
0.2,-1.08776773285,-0.210884600312,-1.21042853762,-0.0359226757528,-0.274431892552,0.0290838601296,-0.821781393895,0.285362139631,-0.947293908048,-0.43660651377,-0.703023115826,-0.779084855326,-0.600539901174,-1.19381559235,-0.421867723907,-1.23034116039
0.233333333333,-1.08852774679,-0.210884600312,-1.21042853762,-0.0359226757528,-0.230735846139,-0.908787871676,-0.821781393895,0.286058184493,-0.947293908048,-0.43660651377,-0.713190365107,-0.781862574411,-0.587116474018,-1.1956629749,-0.421867723907,-1.22134155853
0.266666666667,-1.07721334572,-0.221169305076,-1.20969303994,-0.0441357332174,-0.983209343361,0.112860687382,-0.821781393895,0.286058184493,-0.947293908048,-0.437290624084,-0.733764093065,-0.801173702784,-0.587967067422,-1.19650027779,-0.412998341368,-1.20911541131
0.3,-1.07295971932,-0.232066924308,-1.21051434569,-0.0572153336872,-0.983209343361,0.112860687382,-0.815923016309,0.286058184493,-0.947293908048,-0.454370191761,-0.755361191212,-0.804562785878,-0.597203980168,-1.22918167123,-0.416036792156,-1.22125474565
0.333333333333,-1.06798285384,-0.239005116079,-1.20800139527,-0.063871587722,-0.983209343361,0.112860687382,-0.815923016309,0.286058184493,-0.947293908048,-0.455100682436,-0.767362532521,-0.807991740538,-0.616887243156,-1.23347450981,-0.416036792156,-1.22668055063
0.366666666667,-1.05408195372,-0.254217653161,-1.1984031505,-0.0819648307336,-0.979350742604,0.0989789945672,-0.815923016309,0.275489903342,-0.947293908048,-0.455100682436,-0.767362532521,-0.807991740538,-0.632490315909,-1.23518898714,-0.436727195143,-1.23693893924
0.4,-1.03020280607,-0.258912577982,-1.19917542307,-0.103539429447,-0.979350742604,0.0989789945672,-0.815923016309,0.267125764254,-0.947293908048,-0.455100682436,-0.776120986477,-0.813121882005,-0.668454468269,-1.23602629002,-0.477109653,-1.26082694996
0.433333333333,-1.00629914184,-0.275767725837,-1.18567904058,-0.119928769492,-0.967693828605,0.0925711680844,-0.815923016309,0.266394917149,-0.954807526415,-0.462660681163,-0.779629684268,-0.82173414022,-0.698424595236,-1.24984843284,-0.515582227504,-1.28695762674
0.466666666667,-0.994408601168,-0.286162755205,-1.178667296,-0.140583996101,-0.962398391529,0.0745759519403,-0.815923016309,0.263633939198,-0.958645501229,-0.469235097234,-0.774419799669,-0.829376190334,-0.723237999691,-1.25282550975,-0.555950216548,-1.29902461702
0.5,-0.982236119844,-0.298764276656,-1.16857871944,-0.161030831699,-0.962398391529,0.0728841930497,-0.815923016309,0.255188594876,-0.961045684874,-0.472354176463,-0.774419799669,-0.830186912172,-0.766591682248,-1.2670330777,-0.594307040546,-1.30793740599
0.533333333333,-0.965944853299,-0.307602503276,-1.16129729237,-0.18714099946,-0.962398391529,0.0728841930497,-0.815923016309,0.238935947355,-0.963399488159,-0.480818592216,-0.774419799669,-0.841324369555,-0.821627733587,-1.27373150076,-0.632417894719,-1.31298702183
0.566666666667,-0.95406657092,-0.31205226231,-1.17845890498,-0.163127000097,-0.962398391529,0.0728841930497,-0.815923016309,0.225757497974,-0.978322369082,-0.485259511714,-0.774419799669,-0.847344975992,-0.883016654412,-1.27705413124,-0.690958713239,-1.32230493758
0.6,-0.94296056077,-0.315987173191,-1.16399411721,-0.170432943752,-0.946929226331,0.0559202545854,-0.815238572195,0.225757497974,-0.976942553363,-0.491346934002,-0.774419799669,-0.851318842051,-0.894207273882,-1.26538505298,-0.738416420789,-1.32321647281
